Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,3,male,22,1,0,7.25,,S
1,1,female,38,1,0,71.2833,C85,C
1,3,female,26,0,0,7.925,,S
1,1,female,35,1,0,53.1,C123,S
0,3,male,35,0,0,8.05,,S
0,3,male,,0,0,8.4583,,Q
0,1,male,54,0,0,51.8625,E46,S
0,3,male,2,3,1,21.075,,S
1,3,female,27,0,2,11.1333,,S
1,2,female,14,1,0,30.0708,,C
1,3,female,4,1,1,16.7,G6,S
1,1,female,58,0,0,26.55,C103,S
0,3,male,20,0,0,8.05,,S
0,3,male,39,1,5,31.275,,S
0,3,female,14,0,0,7.8542,,S
1,2,female,55,0,0,16,,S
0,3,male,2,4,1,29.125,,Q
1,2,male,,0,0,13,,S
0,3,female,31,1,0,18,,S
1,3,female,,0,0,7.225,,C
0,2,male,35,0,0,26,,S
1,2,male,34,0,0,13,D56,S
1,3,female,15,0,0,8.0292,,Q
1,1,male,28,0,0,35.5,A6,S
0,3,female,8,3,1,21.075,,S
1,3,female,38,1,5,31.3875,,S
0,3,male,,0,0,7.225,,C
0,1,male,19,3,2,263,C23 C25 C27,S
1,3,female,,0,0,7.8792,,Q
0,3,male,,0,0,7.8958,,S
0,1,male,40,0,0,27.7208,,C
1,1,female,,1,0,146.5208,B78,C
1,3,female,,0,0,7.75,,Q
0,2,male,66,0,0,10.5,,S
0,1,male,28,1,0,82.1708,,C
0,1,male,42,1,0,52,,S
1,3,male,,0,0,7.2292,,C
0,3,male,21,0,0,8.05,,S
0,3,female,18,2,0,18,,S
1,3,female,14,1,0,11.2417,,C
0,3,female,40,1,0,9.475,,S
0,2,female,27,1,0,21,,S
0,3,male,,0,0,7.8958,,C
1,2,female,3,1,2,41.5792,,C
1,3,female,19,0,0,7.8792,,Q
0,3,male,,0,0,8.05,,S
0,3,male,,1,0,15.5,,Q
1,3,female,,0,0,7.75,,Q
0,3,male,,2,0,21.6792,,C
0,3,female,18,1,0,17.8,,S
0,3,male,7,4,1,39.6875,,S
0,3,male,21,0,0,7.8,,S
1,1,female,49,1,0,76.7292,D33,C
1,2,female,29,1,0,26,,S
0,1,male,65,0,1,61.9792,B30,C
1,1,male,,0,0,35.5,C52,S
1,2,female,21,0,0,10.5,,S
0,3,male,28.5,0,0,7.2292,,C
1,2,female,5,1,2,27.75,,S
0,3,male,11,5,2,46.9,,S
0,3,male,22,0,0,7.2292,,C
1,1,female,38,0,0,80,B28,
0,1,male,45,1,0,83.475,C83,S
0,3,male,4,3,2,27.9,,S
0,1,male,,0,0,27.7208,,C
1,3,male,,1,1,15.2458,,C
1,2,female,29,0,0,10.5,F33,S
0,3,male,19,0,0,8.1583,,S
1,3,female,17,4,2,7.925,,S
0,3,male,26,2,0,8.6625,,S
0,2,male,32,0,0,10.5,,S
0,3,female,16,5,2,46.9,,S
0,2,male,21,0,0,73.5,,S
0,3,male,26,1,0,14.4542,,C
1,3,male,32,0,0,56.4958,,S
0,3,male,25,0,0,7.65,F G73,S
0,3,male,,0,0,7.8958,,S
0,3,male,,0,0,8.05,,S
1,2,male,0.83,0,2,29,,S
1,3,female,30,0,0,12.475,,S
0,3,male,22,0,0,9,,S
1,3,male,29,0,0,9.5,,S
1,3,female,,0,0,7.7875,,Q
0,1,male,28,0,0,47.1,,S
1,2,female,17,0,0,10.5,,S
1,3,female,33,3,0,15.85,,S
0,3,male,16,1,3,34.375,,S
0,3,male,,0,0,8.05,,S
1,1,female,23,3,2,263,C23 C25 C27,S
0,3,male,24,0,0,8.05,,S
0,3,male,29,0,0,8.05,,S
0,3,male,20,0,0,7.8542,,S
0,1,male,46,1,0,61.175,E31,S
0,3,male,26,1,2,20.575,,S
0,3,male,59,0,0,7.25,,S
0,3,male,,0,0,8.05,,S
0,1,male,71,0,0,34.6542,A5,C
1,1,male,23,0,1,63.3583,D10 D12,C
1,2,female,34,0,1,23,,S
0,2,male,34,1,0,26,,S
0,3,female,28,0,0,7.8958,,S
0,3,male,,0,0,7.8958,,S
0,1,male,21,0,1,77.2875,D26,S
0,3,male,33,0,0,8.6542,,S
0,3,male,37,2,0,7.925,,S
0,3,male,28,0,0,7.8958,,S
1,3,female,21,0,0,7.65,,S
1,3,male,,0,0,7.775,,S
0,3,male,38,0,0,7.8958,,S
1,3,female,,1,0,24.15,,Q
0,1,male,47,0,0,52,C110,S
0,3,female,14.5,1,0,14.4542,,C
0,3,male,22,0,0,8.05,,S
0,3,female,20,1,0,9.825,,S
0,3,female,17,0,0,14.4583,,C
0,3,male,21,0,0,7.925,,S
0,3,male,70.5,0,0,7.75,,Q
0,2,male,29,1,0,21,,S
0,1,male,24,0,1,247.5208,B58 B60,C
0,3,female,2,4,2,31.275,,S
0,2,male,21,2,0,73.5,,S
0,3,male,,0,0,8.05,,S
0,2,male,32.5,1,0,30.0708,,C
1,2,female,32.5,0,0,13,E101,S
0,1,male,54,0,1,77.2875,D26,S
1,3,male,12,1,0,11.2417,,C
0,3,male,,0,0,7.75,,Q
1,3,male,24,0,0,7.1417,,S
1,3,female,,1,1,22.3583,F E69,C
0,3,male,45,0,0,6.975,,S
0,3,male,33,0,0,7.8958,,C
0,3,male,20,0,0,7.05,,S
0,3,female,47,1,0,14.5,,S
1,2,female,29,1,0,26,,S
0,2,male,25,0,0,13,,S
0,2,male,23,0,0,15.0458,,C
1,1,female,19,0,2,26.2833,D47,S
0,1,male,37,1,0,53.1,C123,S
0,3,male,16,0,0,9.2167,,S
0,1,male,24,0,0,79.2,B86,C
0,3,female,,0,2,15.2458,,C
1,3,female,22,0,0,7.75,,S
1,3,female,24,1,0,15.85,,S
0,3,male,19,0,0,6.75,,Q
0,2,male,18,0,0,11.5,,S
0,2,male,19,1,1,36.75,,S
1,3,male,27,0,0,7.7958,,S
0,3,female,9,2,2,34.375,,S
0,2,male,36.5,0,2,26,F2,S
0,2,male,42,0,0,13,,S
0,2,male,51,0,0,12.525,,S
1,1,female,22,1,0,66.6,C2,S
0,3,male,55.5,0,0,8.05,,S
0,3,male,40.5,0,2,14.5,,S
0,3,male,,0,0,7.3125,,S
0,1,male,51,0,1,61.3792,,C
